Unique identification number of the institution,Level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,Nonresident alien total,Nonresident alien men,Nonresident alien women
102395,Undergraduate students,258,199,59,1,1,0,3,2,1,31,23,8,28,24,4,1,1,0,159,120,39,12,7,5,23,21,2,0,0,0
102395,Graduate student,394,250,144,2,1,1,4,2,2,83,58,25,16,9,7,1,1,0,257,165,92,7,4,3,24,10,14,0,0,0
102429,Total students enrolled for credit,5505,2216,3289,13,5,8,20,4,16,841,270,571,101,45,56,0,0,0,4413,1829,2584,36,9,27,80,53,27,1,1,0
102429,Undergraduate students,5505,2216,3289,13,5,8,20,4,16,841,270,571,101,45,56,0,0,0,4413,1829,2584,36,9,27,80,53,27,1,1,0
102553,Total students enrolled for credit,25009,10121,14888,1608,604,1004,1489,593,896,757,317,440,1766,692,1074,165,65,100,14911,6075,8836,2153,775,1378,1770,810,960,390,190,200
102553,Undergraduate students,23824,9757,14067,1536,589,947,1441,577,864,731,306,425,1689,672,1017,158,65,93,14111,5824,8287,2069,751,1318,1726,795,931,363,178,185
102553,Graduate student,1185,364,821,72,15,57,48,16,32,26,11,15,77,20,57,7,0,7,800,251,549,84,24,60,44,15,29,27,12,15
102580,Total students enrolled for credit,51,32,19,3,2,1,1,0,1,1,1,0,2,1,1,0,0,0,38,23,15,3,2,1,3,3,0,0,0,0
102580,Undergraduate students,51,32,19,3,2,1,1,0,1,1,1,0,2,1,1,0,0,0,38,23,15,3,2,1,3,3,0,0,0,0
102614,Total students enrolled for credit,13263,5421,7842,2454,761,1693,246,93,153,283,126,157,698,272,426,107,41,66,6146,2610,3536,683,251,432,2379,1110,1269,267,157,110
